model;ir.model.fields;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;domain;char;;Domain;char;;Domain;False;both
2;selection;char;;Selection Options;char;;Selection Options (Deprecated);False;both
3;create_date;datetime;;Created on;datetime;;Created on;False;both
4;help;text;;Field Help;text;;Field Help;False;both
5;on_delete;selection;;On Delete;selection;;On Delete;False;both
6;related;char;;Related Field;char;;Related Field;False;both
7;write_uid;many2one;res.users;Last Updated by;many2one;res.users;Last Updated by;False;both
8;depends;char;;Dependencies;char;;Dependencies;False;both
9;relation;char;;Object Relation;char;;Related Model;False;both
10;id;integer;;ID;integer;;ID;False;both
11;size;integer;;Size;integer;;Size;False;both
12;create_uid;many2one;res.users;Created by;many2one;res.users;Created by;False;both
13;display_name;char;;Display Name;char;;Display Name;False;both
14;__last_update;datetime;;Last Modified on;datetime;;Last Modified on;False;both
15;website_form_blacklisted;boolean;;Blacklisted in web forms;boolean;;Blacklisted in web forms;False;both
16;readonly;boolean;;Readonly;boolean;;Readonly;False;both
17;state;selection;;Type;selection;;Type;True;both
18;complete_name;char;;Complete name;char;;Complete Name;False;both
19;relation_field;char;;Relation field;char;;Relation Field;False;both
20;ttype;selection;;Field Type;selection;;Field Type;True;both
21;translate;boolean;;Translatable;boolean;;Translatable;False;both
22;store;boolean;;Stored;boolean;;Stored;False;both
23;model_id;many2one;ir.model;Model;many2one;ir.model;Model;True;both
24;index;boolean;;Indexed;boolean;;Indexed;False;both
25;groups;many2many;res.groups;Groups;many2many;res.groups;Groups;False;both
26;selectable;boolean;;Selectable;boolean;;Selectable;False;both
27;compute;text;;Compute;text;;Compute;False;both
28;name;char;;Field Name;char;;Field Name;True;both
29;required;boolean;;Required;boolean;;Required;False;both
30;modules;char;;In Apps;char;;In Apps;False;both
31;relation_table;char;;Relation table;char;;Relation Table;False;both
32;write_date;datetime;;Last Updated on;datetime;;Last Updated on;False;both
33;model;char;;Object Name;char;;Model Name;True;both
34;column1;char;;Column 1;char;;Column 1;False;both
35;field_description;char;;Field Label;char;;Field Label;True;both
36;column2;char;;Column 2;char;;Column 2;False;both
;;;;
37;serialization_field_id;many2one;ir.model.fields;Serialization Field;;;;False;version 1
38;copy;boolean;;Copied;;;;False;version 1
;;;;
39;group_expand;;;;boolean;;Expand Groups;False;version 2
40;tracking;;;;integer;;Enable Ordered Tracking;False;version 2
41;related_field_id;;;;many2one;ir.model.fields;Related field;False;version 2
42;relation_field_id;;;;many2one;ir.model.fields;Relation field;False;version 2
43;selection_ids;;;;one2many;ir.model.fields.selection;Selection Options;False;version 2
44;copied;;;;boolean;;Copied;False;version 2
;;;;
;;;;
