model,ir.model.relation,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,name,char,,Relation Name,char,,Relation Name,True,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,module,many2one,ir.module.module,Module,many2one,ir.module.module,Module,True,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,write_date,datetime,,Last Updated on,datetime,,Write Date,False,both
1,create_date,datetime,,Created on,datetime,,Create Date,False,both
1,model,many2one,ir.model,Model,many2one,ir.model,Model,True,both
1,id,integer,,ID,integer,,ID,False,both
,,,,
1,date_update,datetime,,Update Date,,,,False,version 1
2,date_init,datetime,,Initialization Date,,,,False,version 1
,,,,
,,,,
,,,,
