model,ir.rule,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,domain_force,text,text,,Domain,Domain,False,both
3,name,char,char,,Name,Name,False,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
5,id,integer,integer,,ID,ID,False,both
6,global,boolean,boolean,,Global,Global,False,both
7,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
8,active,boolean,boolean,,Active,Active,False,both
9,perm_read,boolean,boolean,,Apply for Read,Apply for Read,False,both
10,groups,many2many,many2many,res.groups,Groups,Groups,False,both
11,perm_unlink,boolean,boolean,,Apply for Delete,Apply for Delete,False,both
12,perm_write,boolean,boolean,,Apply for Write,Apply for Write,False,both
13,create_date,datetime,datetime,,Created on,Created on,False,both
14,model_id,many2one,many2one,ir.model,Object,Model,True,both
15,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
16,perm_create,boolean,boolean,,Apply for Create,Apply for Create,False,both
17,display_name,char,char,,Display Name,Display Name,False,both
,,,,
18,domain,binary,,,Domain,,False,version 1
,,,,
,,,,
,,,,
