model,ir.sequence.date_range,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,display_name,char,char,,Display Name,Display Name,False,both
3,number_next,integer,integer,,Next Number,Next Number,True,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
5,date_from,date,date,,From,From,True,both
6,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
7,sequence_id,many2one,many2one,ir.sequence,Main Sequence,Main Sequence,True,both
8,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
9,date_to,date,date,,To,To,True,both
10,number_next_actual,integer,integer,,Next Number,Actual Next Number,False,both
11,create_date,datetime,datetime,,Created on,Created on,False,both
12,id,integer,integer,,ID,ID,False,both
,,,,
,,,,
,,,,
,,,,
