model,ir.translation,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,lang,selection,,Language,selection,,Language,False,both
1,src,text,,Internal Source,text,,Internal Source,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,name,char,,Translated field,char,,Translated field,True,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,res_id,integer,,Record ID,integer,,Record ID,False,both
1,module,char,,Module,char,,Module,False,both
1,state,selection,,Status,selection,,Status,False,both
1,comments,text,,Translation comments,text,,Translation comments,False,both
1,value,text,,Translation Value,text,,Translation Value,False,both
1,type,selection,,Type,selection,,Type,False,both
1,id,integer,,ID,integer,,ID,False,both
,,,,
1,source,text,,Source term,,,,False,version 1
,,,,
,,,,
,,,,
