model,ir.ui.view,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,arch_base,text,,View Architecture,text,,Base View Architecture,False,both
1,xml_id,char,,External ID,char,,External ID,False,both
1,create_date,datetime,,Create date,datetime,,Created on,False,both
1,write_date,datetime,,Last Modification Date,datetime,,Last Updated on,False,both
1,groups_id,many2many,res.groups,Groups,many2many,res.groups,Groups,False,both
1,website_id,many2one,website,Website,many2one,website,Website,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,customize_show,boolean,,Show As Optional Inherit,boolean,,Show As Optional Inherit,False,both
1,id,integer,,ID,integer,,ID,False,both
1,field_parent,char,,Child Field,char,,Child Field,False,both
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,model_data_id,many2one,ir.model.data,Model Data,many2one,ir.model.data,Model Data,False,both
1,priority,integer,,Sequence,integer,,Sequence,True,both
1,website_meta_title,char,,Website meta title,char,,Website meta title,False,both
1,type,selection,,View Type,selection,,View Type,False,both
1,arch_db,text,,Arch Blob,text,,Arch Blob,False,both
1,inherit_id,many2one,ir.ui.view,Inherited View,many2one,ir.ui.view,Inherited View,False,both
1,website_meta_description,text,,Website meta description,text,,Website meta description,False,both
1,key,char,,Key,char,,Key,False,both
1,active,boolean,,Active,boolean,,Active,False,both
1,arch,text,,View Architecture,text,,View Architecture,False,both
1,arch_fs,char,,Arch Filename,char,,Arch Filename,False,both
1,name,char,,View Name,char,,View Name,True,both
1,mode,selection,,View inheritance mode,selection,,View inheritance mode,True,both
1,inherit_children_ids,one2many,ir.ui.view,Views which inherit from this one,one2many,ir.ui.view,Views which inherit from this one,False,both
1,website_meta_keywords,char,,Website meta keywords,char,,Website meta keywords,False,both
1,model,char,,Model,char,,Model,False,both
,,,,
1,model_ids,one2many,ir.model.data,Model ids,,,,False,version 1
2,page,boolean,,Whether this view is a web page template (complete),,,,False,version 1
,,,,
3,track,,,,boolean,,Track,False,version 2
4,page_ids,,,,one2many,website.page,Page,False,version 2
5,visibility,,,,selection,,Visibility,False,version 2
6,website_meta_og_img,,,,char,,Website opengraph image,False,version 2
7,seo_name,,,,char,,Seo name,False,version 2
8,theme_template_id,,,,many2one,theme.ir.ui.view,Theme Template,False,version 2
9,arch_prev,,,,text,,Previous View Architecture,False,version 2
10,arch_updated,,,,boolean,,Modified Architecture,False,version 2
11,first_page_id,,,,many2one,website.page,Website Page,False,version 2
12,visibility_password,,,,char,,Visibility Password,False,version 2
13,is_seo_optimized,,,,boolean,,SEO optimized,False,version 2
14,visibility_password_display,,,,char,,Visibility Password Display,False,version 2
,,,,
,,,,
