model,mail.channel,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,message_follower_ids,one2many,one2many,mail.followers,Followers,Followers,False,both
2,create_date,datetime,datetime,,Created on,Created on,False,both
3,alias_defaults,text,text,,Default Values,Default Values,True,both
4,is_member,boolean,boolean,,Is a member,Is a member,False,both
5,message_channel_ids,many2many,many2many,mail.channel,Followers (Channels),Followers (Channels),False,both
6,is_subscribed,boolean,boolean,,Is Subscribed,Is Subscribed,False,both
7,alias_id,many2one,many2one,mail.alias,Alias,Alias,True,both
8,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
9,channel_last_seen_partner_ids,one2many,one2many,mail.channel.partner,Last Seen,Last Seen,False,both
10,alias_name,char,char,,Alias Name,Alias Name,False,both
11,id,integer,integer,,ID,ID,False,both
12,channel_message_ids,many2many,many2many,mail.message,Channel message ids,Channel Message,False,both
13,display_name,char,char,,Display Name,Display Name,False,both
14,uuid,char,char,,UUID,UUID,False,both
15,message_is_follower,boolean,boolean,,Is Follower,Is Follower,False,both
16,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
17,alias_force_thread_id,integer,integer,,Record Thread ID,Record Thread ID,False,both
18,message_ids,one2many,one2many,mail.message,Messages,Messages,False,both
19,message_needaction,boolean,boolean,,Action Needed,Action Needed,False,both
20,message_unread_counter,integer,integer,,Unread Messages Counter,Unread Messages Counter,False,both
21,alias_domain,char,char,,Alias domain,Alias domain,False,both
22,alias_parent_model_id,many2one,many2one,ir.model,Parent Model,Parent Model,False,both
23,description,text,text,,Description,Description,False,both
24,channel_partner_ids,many2many,many2many,res.partner,Listeners,Listeners,False,both
25,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
26,alias_contact,selection,selection,,Alias Contact Security,Alias Contact Security,True,both
27,public,selection,selection,,Privacy,Privacy,True,both
28,group_public_id,many2one,many2one,res.groups,Authorized Group,Authorized Group,False,both
29,alias_model_id,many2one,many2one,ir.model,Aliased Model,Aliased Model,True,both
30,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
31,alias_parent_thread_id,integer,integer,,Parent Record Thread ID,Parent Record Thread ID,False,both
32,group_ids,many2many,many2many,res.groups,Auto Subscription,Auto Subscription,False,both
33,name,char,char,,Name,Name,True,both
34,alias_user_id,many2one,many2one,res.users,Owner,Owner,False,both
35,channel_type,selection,selection,,Channel Type,Channel Type,False,both
36,message_unread,boolean,boolean,,Unread Messages,Unread Messages,False,both
37,message_needaction_counter,integer,integer,,Number of Actions,Number of Actions,False,both
38,message_partner_ids,many2many,many2many,res.partner,Followers (Partners),Followers (Partners),False,both
39,email_send,boolean,boolean,,Send messages by email,Send messages by email,False,both
,,,,
40,image_medium,binary,,,Medium-sized photo,,False,version 1
41,image_small,binary,,,Small-sized photo,,False,version 1
42,image,binary,,,Photo,,False,version 1
43,message_last_post,datetime,,,Last Message Date,,False,version 1
,,,,
44,message_main_attachment_id,,many2one,ir.attachment,,Main Attachment,False,version 2
45,message_has_error,,boolean,,,Message Delivery error,False,version 2
46,message_has_sms_error,,boolean,,,SMS Delivery error,False,version 2
47,message_attachment_count,,integer,,,Attachment Count,False,version 2
48,moderation_count,,integer,,,Moderated emails count,False,version 2
49,moderation_notify_msg,,text,,,Notification message,False,version 2
50,moderation_guidelines,,boolean,,,Send guidelines to new subscribers,False,version 2
51,is_chat,,boolean,,,Is a chat,False,version 2
52,message_has_error_counter,,integer,,,Number of errors,False,version 2
53,is_moderator,,boolean,,,Moderator,False,version 2
54,moderation,,boolean,,,Moderate this channel,False,version 2
55,active,,boolean,,,Active,False,version 2
56,moderation_ids,,one2many,mail.moderation,,Moderated Emails,False,version 2
57,image_128,,binary,,,Image,False,version 2
58,subscription_department_ids,,many2many,hr.department,,HR Departments,False,version 2
59,moderation_guidelines_msg,,text,,,Guidelines,False,version 2
60,alias_bounced_content,,html,,,Custom Bounced Message,False,version 2
61,moderator_ids,,many2many,res.users,,Moderators,False,version 2
62,moderation_notify,,boolean,,,Automatic notification,False,version 2
63,website_message_ids,,one2many,mail.message,,Website Messages,False,version 2
,,,,
,,,,
