model,mail.mail,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_date,datetime,,Created on,datetime,,Created on,False,both
2,scheduled_date,char,,Scheduled Send Date,char,,Scheduled Send Date,False,both
3,auto_delete,boolean,,Auto Delete,boolean,,Auto Delete,False,both
4,mail_server_id,many2one,ir.mail_server,Outgoing mail server,many2one,ir.mail_server,Outgoing mail server,False,both
5,notification_ids,one2many,mail.notification,Notifications,one2many,mail.notification,Notifications,False,both
6,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
7,references,text,,References,text,,References,False,both
8,needaction,boolean,,Need Action,boolean,,Need Action,False,both
9,id,integer,,ID,integer,,ID,False,both
10,subject,char,,Subject,char,,Subject,False,both
11,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
12,display_name,char,,Display Name,char,,Display Name,False,both
13,attachment_ids,many2many,ir.attachment,Attachments,many2many,ir.attachment,Attachments,False,both
14,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
15,fetchmail_server_id,many2one,fetchmail.server,Inbound Mail Server,many2one,fetchmail.server,Inbound Mail Server,False,both
16,notification,boolean,,Is Notification,boolean,,Is Notification,False,both
17,parent_id,many2one,mail.message,Parent Message,many2one,mail.message,Parent Message,False,both
18,state,selection,,Status,selection,,Status,False,both
19,subtype_id,many2one,mail.message.subtype,Subtype,many2one,mail.message.subtype,Subtype,False,both
20,email_cc,char,,Cc,char,,Cc,False,both
21,partner_ids,many2many,res.partner,Recipients,many2many,res.partner,Recipients,False,both
22,res_id,integer,,Related Document ID,many2one_reference,,Related Document ID,False,both
23,message_id,char,,Message-Id,char,,Message-Id,False,both
24,body,html,,Contents,html,,Contents,False,both
25,model,char,,Related Document Model,char,,Related Document Model,False,both
26,recipient_ids,many2many,res.partner,To (Partners),many2many,res.partner,To (Partners),False,both
27,record_name,char,,Message Record Name,char,,Message Record Name,False,both
28,description,char,,Description,char,,Short description,False,both
29,channel_ids,many2many,mail.channel,Channels,many2many,mail.channel,Channels,False,both
30,child_ids,one2many,mail.message,Child Messages,one2many,mail.message,Child Messages,False,both
31,body_html,text,,Rich-text Contents,text,,Rich-text Contents,False,both
32,email_to,text,,To,text,,To,False,both
33,no_auto_thread,boolean,,No threading for answers,boolean,,No threading for answers,False,both
34,date,datetime,,Date,datetime,,Date,False,both
35,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
36,author_id,many2one,res.partner,Author,many2one,res.partner,Author,False,both
37,mail_message_id,many2one,mail.message,Message,many2one,mail.message,Message,True,both
38,starred_partner_ids,many2many,res.partner,Favorited By,many2many,res.partner,Favorited By,False,both
39,failure_reason,text,,Failure Reason,text,,Failure Reason,False,both
40,headers,text,,Headers,text,,Headers,False,both
41,author_avatar,binary,,Author's avatar,binary,,Author's avatar,False,both
42,reply_to,char,,Reply-To,char,,Reply-To,False,both
43,starred,boolean,,Starred,boolean,,Starred,False,both
44,message_type,selection,,Type,selection,,Type,True,both
45,email_from,char,,From,char,,From,False,both
,,,,
46,reference,char,,Reference,,,,False,version 1
47,broadcast_image,binary,,Image,,,,False,version 1
48,broadcast,boolean,,Broadcast,,,,False,version 1
49,path,char,,Discussion Path,,,,False,version 1
50,notification_type,selection,,Type,,,,False,version 1
51,partner_id,many2one,res.partner,Recipient,,,,False,version 1
52,dke_type,selection,,Message Type,,,,False,version 1
53,user_id,many2one,res.users,Recipient User,,,,False,version 1
54,name,char,,Identifier,,,,False,version 1
55,needaction_partner_ids,many2many,res.partner,Partners with Need Action,,,,False,version 1
56,error_message,char,,Error Message,,,,False,version 1
57,notification_state,selection,,State,,,,False,version 1
58,notification_subtype_id,many2one,notification.subtype,Notification Subtype,,,,False,version 1
59,website_published,boolean,,Published,,,,False,version 1
,,,,
60,is_internal,,,,boolean,,Employee Only,False,version 2
61,add_sign,,,,boolean,,Add Sign,False,version 2
62,email_layout_xmlid,,,,char,,Layout,False,version 2
63,moderator_id,,,,many2one,res.users,Moderated By,False,version 2
64,has_sms_error,,,,boolean,,Has SMS error,False,version 2
65,mail_activity_type_id,,,,many2one,mail.activity.type,Mail Activity Type,False,version 2
66,rating_value,,,,float,,Rating Value,False,version 2
67,notified_partner_ids,,,,many2many,res.partner,Partners with Need Action,False,version 2
68,moderation_status,,,,selection,,Moderation Status,False,version 2
69,snailmail_error,,,,boolean,,Snailmail message in error,False,version 2
70,need_moderation,,,,boolean,,Need moderation,False,version 2
71,letter_ids,,,,one2many,snailmail.letter,Letter,False,version 2
72,has_error,,,,boolean,,Has error,False,version 2
73,canned_response_ids,,,,one2many,mail.shortcode,Canned Responses,False,version 2
74,rating_ids,,,,one2many,rating.rating,Related ratings,False,version 2
75,mail_ids,,,,one2many,mail.mail,Mails,False,version 2
,,,,
,,,,
