model,mail.message,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_date,datetime,,Created on,datetime,,Created on,False,both
2,no_auto_thread,boolean,,No threading for answers,boolean,,No threading for answers,False,both
3,mail_server_id,many2one,ir.mail_server,Outgoing mail server,many2one,ir.mail_server,Outgoing mail server,False,both
4,notification_ids,one2many,mail.notification,Notifications,one2many,mail.notification,Notifications,False,both
5,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
6,needaction,boolean,,Need Action,boolean,,Need Action,False,both
7,id,integer,,ID,integer,,ID,False,both
8,subject,char,,Subject,char,,Subject,False,both
9,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
10,display_name,char,,Display Name,char,,Display Name,False,both
11,attachment_ids,many2many,ir.attachment,Attachments,many2many,ir.attachment,Attachments,False,both
12,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
13,parent_id,many2one,mail.message,Parent Message,many2one,mail.message,Parent Message,False,both
14,subtype_id,many2one,mail.message.subtype,Subtype,many2one,mail.message.subtype,Subtype,False,both
15,partner_ids,many2many,res.partner,Recipients,many2many,res.partner,Recipients,False,both
16,res_id,integer,,Related Document ID,many2one_reference,,Related Document ID,False,both
17,message_id,char,,Message-Id,char,,Message-Id,False,both
18,body,html,,Contents,html,,Contents,False,both
19,model,char,,Related Document Model,char,,Related Document Model,False,both
20,record_name,char,,Message Record Name,char,,Message Record Name,False,both
21,description,char,,Description,char,,Short description,False,both
22,channel_ids,many2many,mail.channel,Channels,many2many,mail.channel,Channels,False,both
23,child_ids,one2many,mail.message,Child Messages,one2many,mail.message,Child Messages,False,both
24,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
25,date,datetime,,Date,datetime,,Date,False,both
26,author_id,many2one,res.partner,Author,many2one,res.partner,Author,False,both
27,starred_partner_ids,many2many,res.partner,Favorited By,many2many,res.partner,Favorited By,False,both
28,author_avatar,binary,,Author's avatar,binary,,Author's avatar,False,both
29,reply_to,char,,Reply-To,char,,Reply-To,False,both
30,starred,boolean,,Starred,boolean,,Starred,False,both
31,message_type,selection,,Type,selection,,Type,True,both
32,email_from,char,,From,char,,From,False,both
,,,,
33,reference,char,,Reference,,,,False,version 1
34,broadcast_image,binary,,Image,,,,False,version 1
35,broadcast,boolean,,Broadcast,,,,False,version 1
36,path,char,,Discussion Path,,,,False,version 1
37,notification_type,selection,,Type,,,,False,version 1
38,partner_id,many2one,res.partner,Recipient,,,,False,version 1
39,dke_type,selection,,Message Type,,,,False,version 1
40,user_id,many2one,res.users,Recipient User,,,,False,version 1
41,name,char,,Identifier,,,,False,version 1
42,needaction_partner_ids,many2many,res.partner,Partners with Need Action,,,,False,version 1
43,error_message,char,,Error Message,,,,False,version 1
44,notification_state,selection,,State,,,,False,version 1
45,notification_subtype_id,many2one,notification.subtype,Notification Subtype,,,,False,version 1
46,website_published,boolean,,Published,,,,False,version 1
,,,,
47,is_internal,,,,boolean,,Employee Only,False,version 2
48,add_sign,,,,boolean,,Add Sign,False,version 2
49,email_layout_xmlid,,,,char,,Layout,False,version 2
50,moderator_id,,,,many2one,res.users,Moderated By,False,version 2
51,has_sms_error,,,,boolean,,Has SMS error,False,version 2
52,mail_activity_type_id,,,,many2one,mail.activity.type,Mail Activity Type,False,version 2
53,rating_value,,,,float,,Rating Value,False,version 2
54,notified_partner_ids,,,,many2many,res.partner,Partners with Need Action,False,version 2
55,moderation_status,,,,selection,,Moderation Status,False,version 2
56,snailmail_error,,,,boolean,,Snailmail message in error,False,version 2
57,need_moderation,,,,boolean,,Need moderation,False,version 2
58,letter_ids,,,,one2many,snailmail.letter,Letter,False,version 2
59,has_error,,,,boolean,,Has error,False,version 2
60,canned_response_ids,,,,one2many,mail.shortcode,Canned Responses,False,version 2
61,rating_ids,,,,one2many,rating.rating,Related ratings,False,version 2
62,mail_ids,,,,one2many,mail.mail,Mails,False,version 2
,,,,
,,,,
