model,mail.shortcode,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,description,char,,Description,char,,Description,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,source,char,,Shortcut,char,,Shortcut,True,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,substitution,text,,Substitution,text,,Substitution,True,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,id,integer,,ID,integer,,ID,False,both
,,,,
1,shortcode_type,selection,,Shortcode type,,,,True,version 1
,,,,
2,message_ids,,,,many2one,mail.message,Messages,False,version 2
,,,,
,,,,
