model;mail.thread;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;message_follower_ids;one2many;mail.followers;Followers;one2many;mail.followers;Followers;False;both
2;display_name;char;;Display Name;char;;Display Name;False;both
3;message_is_follower;boolean;;Is Follower;boolean;;Is Follower;False;both
4;__last_update;datetime;;Last Modified on;datetime;;Last Modified on;False;both
5;message_needaction;boolean;;Action Needed;boolean;;Action Needed;False;both
6;message_channel_ids;many2many;mail.channel;Followers (Channels);many2many;mail.channel;Followers (Channels);False;both
7;message_partner_ids;many2many;res.partner;Followers (Partners);many2many;res.partner;Followers (Partners);False;both
8;message_needaction_counter;integer;;Number of Actions;integer;;Number of Actions;False;both
9;id;integer;;ID;integer;;ID;False;both
10;message_unread_counter;integer;;Unread Messages Counter;integer;;Unread Messages Counter;False;both
11;message_unread;boolean;;Unread Messages;boolean;;Unread Messages;False;both
12;message_ids;one2many;mail.message;Messages;one2many;mail.message;Messages;False;both
;;;;
13;message_last_post;datetime;;Last Message Date;;;;False;version 1
;;;;
14;message_has_error_counter;;;;integer;;Number of errors;False;version 2
15;message_main_attachment_id;;;;many2one;ir.attachment;Main Attachment;False;version 2
16;message_has_error;;;;boolean;;Message Delivery error;False;version 2
17;website_message_ids;;;;one2many;mail.message;Website Messages;False;version 2
18;message_has_sms_error;;;;boolean;;SMS Delivery error;False;version 2
19;message_attachment_count;;;;integer;;Attachment Count;False;version 2
;;;;
;;;;
