model,mail.wizard.invite,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,channel_ids,many2many,mail.channel,Channels,many2many,mail.channel,Channels,False,both
1,send_mail,boolean,,Send Email,boolean,,Send Email,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,res_model,char,,Related Document Model,char,,Related Document Model,True,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,message,html,,Message,html,,Message,False,both
1,partner_ids,many2many,res.partner,Recipients,many2many,res.partner,Recipients,False,both
1,res_id,integer,,Related Document ID,integer,,Related Document ID,False,both
1,id,integer,,ID,integer,,ID,False,both
,,,,
,,,,
,,,,
,,,,
