model,portal.wizard.user,transient,True
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,user_id,many2one,many2one,res.users,Login User,Login User,False,both
3,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
4,wizard_id,many2one,many2one,portal.wizard,Wizard,Wizard,True,both
5,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
6,email,char,char,,Email,Email,False,both
7,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
8,create_date,datetime,datetime,,Created on,Created on,False,both
9,in_portal,boolean,boolean,,In Portal,In Portal,False,both
10,partner_id,many2one,many2one,res.partner,Contact,Contact,True,both
11,id,integer,integer,,ID,ID,False,both
12,display_name,char,char,,Display Name,Display Name,False,both
,,,,
,,,,
,,,,
,,,,
