model,product.attribute,transient,False
no,field,type1,type2,relation,string1,string2,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,both
2,display_name,char,char,,Display Name,Display Name,both
3,name,char,char,,Name,Attribute,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
5,sequence,integer,integer,,Sequence,Sequence,both
6,attribute_line_ids,one2many,one2many,product.template.attribute.line,Lines,Lines,both
7,value_ids,one2many,one2many,product.attribute.value,Values,Values,both
8,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
9,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
10,create_variant,boolean,selection,,Create variant,Variants Creation Mode,both
11,create_date,datetime,datetime,,Created on,Created on,both
12,id,integer,integer,,ID,ID,both
,,,,
13,type,selection,,,Type,,version 1
,,,,
14,display_type,,selection,,,Display Type,version 2
15,is_used_on_products,,boolean,,,Used on Products,version 2
16,product_tmpl_ids,,many2many,product.template,,Related Products,version 2
,,,,
,,,,
