model,product.image,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
2,display_name,char,,Display Name,char,,Display Name,False,both
3,name,char,,Name,char,,Name,True,both
4,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
5,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
6,product_tmpl_id,many2one,product.template,Related Product,many2one,product.template,Product Template,False,both
7,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
8,create_date,datetime,,Created on,datetime,,Created on,False,both
9,id,integer,,ID,integer,,ID,False,both
,,,,
10,image,binary,,Image,,,,False,version 1
,,,,
11,video_url,,,,char,,Video URL,False,version 2
12,sequence,,,,integer,,Sequence,False,version 2
13,image_1024,,,,binary,,Image 1024,False,version 2
14,can_image_1024_be_zoomed,,,,boolean,,Can Image 1024 be zoomed,False,version 2
15,embed_code,,,,char,,Embed Code,False,version 2
16,image_128,,,,binary,,Image 128,False,version 2
17,image_512,,,,binary,,Image 512,False,version 2
18,image_256,,,,binary,,Image 256,False,version 2
19,image_1920,,,,binary,,Image,True,version 2
20,product_variant_id,,,,many2one,product.product,Product Variant,False,version 2
,,,,
,,,,
