model,product.packaging,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,name,char,,Packaging Type,char,,Package Type,True,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,sequence,integer,,Sequence,integer,,Sequence,False,both
1,qty,float,,Quantity per Package,float,,Contained Quantity,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,id,integer,,ID,integer,,ID,False,both
,,,,
1,product_tmpl_id,many2one,product.template,Product,,,,False,version 1
,,,,
2,product_id,,,,many2one,product.product,Product,False,version 2
3,product_uom_id,,,,many2one,uom.uom,Unit of Measure,False,version 2
4,barcode,,,,char,,Barcode,False,version 2
5,company_id,,,,many2one,res.company,Company,False,version 2
,,,,
,,,,
