model,product.pricelist,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,code,char,char,,E-commerce Promotional Code,E-commerce Promotional Code,False,both
3,display_name,char,char,,Display Name,Display Name,False,both
4,name,char,char,,Pricelist Name,Pricelist Name,True,both
5,item_ids,one2many,one2many,product.pricelist.item,Pricelist Items,Pricelist Items,False,both
6,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
7,sequence,integer,integer,,Sequence,Sequence,False,both
8,website_id,many2one,many2one,website,website,Website,False,both
9,company_id,many2one,many2one,res.company,Company,Company,False,both
10,discount_policy,selection,selection,,Discount policy,Discount Policy,True,both
11,currency_id,many2one,many2one,res.currency,Currency,Currency,True,both
12,country_group_ids,many2many,many2many,res.country.group,Country Groups,Country Groups,False,both
13,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
14,active,boolean,boolean,,Active,Active,False,both
15,create_date,datetime,datetime,,Created on,Created on,False,both
16,selectable,boolean,boolean,,Selectable,Selectable,False,both
17,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
18,id,integer,integer,,ID,ID,False,both
,,,,
,,,,
,,,,
,,,,
