model,product.template,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,incoming_qty,float,,Incoming,float,,Incoming,False,both
2,standard_price,float,,Cost,float,,Cost,False,both
3,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
4,display_name,char,,Display Name,char,,Display Name,False,both
5,route_from_categ_ids,many2many,stock.location.route,Category Routes,many2many,stock.location.route,Category Routes,False,both
6,company_id,many2one,res.company,Company,many2one,res.company,Company,False,both
7,rating_count,integer,,Rating count,integer,,Rating count,False,both
8,purchase_line_warn_msg,text,,Message for Purchase Order Line,text,,Message for Purchase Order Line,False,both
9,pricelist_id,many2one,product.pricelist,Pricelist,many2one,product.pricelist,Pricelist,False,both
10,bom_ids,one2many,mrp.bom,Bill of Materials,one2many,mrp.bom,Bill of Materials,False,both
11,warehouse_id,many2one,stock.warehouse,Warehouse,many2one,stock.warehouse,Warehouse,False,both
12,route_ids,many2many,stock.location.route,Routes,many2many,stock.location.route,Routes,False,both
13,reordering_max_qty,float,,Reordering max qty,float,,Reordering Max Qty,False,both
14,website_sequence,integer,,Website Sequence,integer,,Website Sequence,False,both
15,name,char,,Name,char,,Name,True,both
16,packaging_ids,one2many,product.packaging,Logistical Units,one2many,product.packaging,Product Packages,False,both
17,seller_ids,one2many,product.supplierinfo,Vendors,one2many,product.supplierinfo,Vendors,False,both
18,website_message_ids,one2many,mail.message,Website Comments,one2many,mail.message,Website Messages,False,both
19,accessory_product_ids,many2many,product.product,Accessory Products,many2many,product.product,Accessory Products,False,both
20,message_follower_ids,one2many,mail.followers,Followers,one2many,mail.followers,Followers,False,both
21,outgoing_qty,float,,Outgoing,float,,Outgoing,False,both
22,create_date,datetime,,Created on,datetime,,Created on,False,both
23,weight,float,,Weight,float,,Weight,False,both
24,sequence,integer,,Sequence,integer,,Sequence,False,both
25,message_needaction,boolean,,Action Needed,boolean,,Action Needed,False,both
26,bom_count,integer,,# Bill of Material,integer,,# Bill of Material,False,both
27,attribute_line_ids,one2many,product.attribute.line,Product Attributes,one2many,product.template.attribute.line,Product Attributes,False,both
28,currency_id,many2one,res.currency,Currency,many2one,res.currency,Currency,False,both
29,description_purchase,text,,Purchase Description,text,,Purchase Description,False,both
30,virtual_available,float,,Forecasted Quantity,float,,Forecasted Quantity,False,both
31,description_picking,text,,Description on Picking,text,,Description on Picking,False,both
32,message_unread_counter,integer,,Unread Messages Counter,integer,,Unread Messages Counter,False,both
33,barcode,char,,Barcode,char,,Barcode,False,both
34,active,boolean,,Active,boolean,,Active,False,both
35,product_variant_count,integer,,# Product Variants,integer,,# Product Variants,False,both
