model,project.project,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,message_follower_ids,one2many,mail.followers,Followers,one2many,mail.followers,Followers,False,both
1,tasks,one2many,project.task,Task Activities,one2many,project.task,Task Activities,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,sequence,integer,,Sequence,integer,,Sequence,False,both
1,color,integer,,Color Index,integer,,Color Index,False,both
1,message_channel_ids,many2many,mail.channel,Followers (Channels),many2many,mail.channel,Followers (Channels),False,both
1,message_partner_ids,many2many,res.partner,Followers (Partners),many2many,res.partner,Followers (Partners),False,both
1,alias_id,many2one,mail.alias,Alias,many2one,mail.alias,Alias,True,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,currency_id,many2one,res.currency,Currency,many2one,res.currency,Currency,False,both
1,date,date,,Expiration Date,date,,Expiration Date,False,both
1,is_favorite,boolean,,Show Project on dashboard,boolean,,Show Project on dashboard,False,both
1,task_ids,one2many,project.task,Tasks,one2many,project.task,Tasks,False,both
1,label_tasks,char,,Use Tasks as,char,,Use Tasks as,False,both
1,doc_count,integer,,Number of documents attached,integer,,Number of documents attached,False,both
1,alias_name,char,,Alias Name,char,,Alias Name,False,both
1,privacy_visibility,selection,,Privacy,selection,,Visibility,True,both
1,analytic_account_id,many2one,account.analytic.account,Contract/Analytic,many2one,account.analytic.account,Analytic Account,False,both
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,user_id,many2one,res.users,Project Manager,many2one,res.users,Project Manager,False,both
1,message_is_follower,boolean,,Is Follower,boolean,,Is Follower,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,alias_force_thread_id,integer,,Record Thread ID,integer,,Record Thread ID,False,both
1,partner_id,many2one,res.partner,Customer,many2one,res.partner,Customer,False,both
1,date_start,date,,Start Date,date,,Start Date,False,both
1,company_id,many2one,res.company,Company,many2one,res.company,Company,True,both
1,id,integer,,ID,integer,,ID,False,both
1,message_needaction,boolean,,Action Needed,boolean,,Action Needed,False,both
1,favorite_user_ids,many2many,res.users,Members,many2many,res.users,Members,False,both
1,message_unread_counter,integer,,Unread Messages Counter,integer,,Unread Messages Counter,False,both
1,alias_domain,char,,Alias domain,char,,Alias domain,False,both
1,alias_parent_model_id,many2one,ir.model,Parent Model,many2one,ir.model,Parent Model,False,both
1,alias_contact,selection,,Alias Contact Security,selection,,Alias Contact Security,True,both
1,alias_defaults,text,,Default Values,text,,Default Values,True,both
1,alias_model_id,many2one,ir.model,Aliased Model,many2one,ir.model,Aliased Model,True,both
1,task_count,integer,,Tasks,integer,,Task Count,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,active,boolean,,Active,boolean,,Active,False,both
1,alias_parent_thread_id,integer,,Parent Record Thread ID,integer,,Parent Record Thread ID,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,message_unread,boolean,,Unread Messages,boolean,,Unread Messages,False,both
1,name,char,,Analytic Account,char,,Name,True,both
1,alias_user_id,many2one,res.users,Owner,many2one,res.users,Owner,False,both
1,message_ids,one2many,mail.message,Messages,one2many,mail.message,Messages,False,both
1,type_ids,many2many,project.task.type,Tasks Stages,many2many,project.task.type,Tasks Stages,False,both
1,message_needaction_counter,integer,,Number of Actions,integer,,Number of Actions,False,both
1,resource_calendar_id,many2one,resource.calendar,Working Time,many2one,resource.calendar,Working Time,False,both
,,,,
1,alias_model,selection,,Alias Model,,,,True,version 1
2,project_count,integer,,Project Count,,,,False,version 1
3,use_tasks,boolean,,Use Tasks,,,,False,version 1
4,tag_ids,many2many,account.analytic.tag,Tags,,,,False,version 1
5,code,char,,Reference,,,,False,version 1
6,company_uom_id,many2one,product.uom,Company UOM,,,,False,version 1
7,project_ids,one2many,project.project,Projects,,,,False,version 1
8,message_last_post,datetime,,Last Message Date,,,,False,version 1
9,task_needaction_count,integer,,Tasks,,,,False,version 1
10,credit,monetary,,Credit,,,,False,version 1
11,debit,monetary,,Debit,,,,False,version 1
12,line_ids,one2many,account.analytic.line,Analytic Lines,,,,False,version 1
13,balance,monetary,,Balance,,,,False,version 1
,,,,
14,allowed_internal_user_ids,,,,many2many,res.users,Allowed Internal Users,False,version 2
15,allow_recurring_tasks,,,,boolean,,Recurring Tasks,False,version 2
16,message_main_attachment_id,,,,many2one,ir.attachment,Main Attachment,False,version 2
17,message_has_sms_error,,,,boolean,,SMS Delivery error,False,version 2
18,alias_enabled,,,,boolean,,Use email alias,False,version 2
19,rating_status_period,,,,selection,,Rating Frequency,True,version 2
20,subtask_project_id,,,,many2one,project.project,Sub-task Project,False,version 2
21,sale_order_id,,,,many2one,sale.order,Sales Order,False,version 2
22,rating_status,,,,selection,,Customer Ratings Status,True,version 2
23,allow_subtasks,,,,boolean,,Sub-tasks,False,version 2
24,alias_bounced_content,,,,html,,Custom Bounced Message,False,version 2
25,access_token,,,,char,,Security Token,False,version 2
26,rating_ids,,,,one2many,rating.rating,Ratings,False,version 2
27,message_has_error,,,,boolean,,Message Delivery error,False,version 2
28,access_warning,,,,text,,Access warning,False,version 2
29,sale_line_id,,,,many2one,sale.order.line,Sales Order Item,False,version 2
30,allowed_portal_user_ids,,,,many2many,res.users,Allowed Portal Users,False,version 2
31,rating_active,,,,boolean,,Customer Ratings,False,version 2
32,message_attachment_count,,,,integer,,Attachment Count,False,version 2
33,partner_email,,,,char,,Email,False,version 2
34,description,,,,html,,Description,False,version 2
35,rating_request_deadline,,,,datetime,,Rating Request Deadline,False,version 2
36,allowed_user_ids,,,,many2many,res.users,Allowed User,False,version 2
37,message_has_error_counter,,,,integer,,Number of errors,False,version 2
38,website_message_ids,,,,one2many,mail.message,Website Messages,False,version 2
39,rating_percentage_satisfaction,,,,integer,,Rating Satisfaction,False,version 2
40,partner_phone,,,,char,,Phone,False,version 2
41,access_url,,,,char,,Portal Access URL,False,version 2
,,,,
,,,,
