model,project.task,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,message_follower_ids,one2many,mail.followers,Followers,one2many,mail.followers,Followers,False,both
1,create_date,datetime,,Create date,datetime,,Created On,False,both
1,sequence,integer,,Sequence,integer,,Sequence,False,both
1,color,integer,,Color Index,integer,,Color Index,False,both
1,message_channel_ids,many2many,mail.channel,Followers (Channels),many2many,mail.channel,Followers (Channels),False,both
1,date_end,datetime,,Ending Date,datetime,,Ending Date,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,legend_blocked,char,,Kanban Blocked Explanation,char,,Kanban Blocked Explanation,False,both
1,planned_hours,float,,Initially Planned Hours,float,,Initially Planned Hours,False,both
1,partner_id,many2one,res.partner,Customer,many2one,res.partner,Customer,False,both
1,id,integer,,ID,integer,,ID,False,both
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,displayed_image_id,many2one,ir.attachment,Displayed Image,many2one,ir.attachment,Cover Image,False,both
1,user_id,many2one,res.users,Assigned to,many2one,res.users,Assigned to,False,both
1,attachment_ids,one2many,ir.attachment,Attachments,one2many,ir.attachment,Main Attachments,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,tag_ids,many2many,project.tags,Tags,many2many,project.tags,Tags,False,both
1,company_id,many2one,res.company,Company,many2one,res.company,Company,True,both
1,message_ids,one2many,mail.message,Messages,one2many,mail.message,Messages,False,both
1,priority,selection,,Priority,selection,,Priority,False,both
1,message_needaction,boolean,,Action Needed,boolean,,Action Needed,False,both
1,message_is_follower,boolean,,Is Follower,boolean,,Is Follower,False,both
1,manager_id,many2one,res.users,Project Manager,many2one,res.users,Project Manager,False,both
1,message_unread_counter,integer,,Unread Messages Counter,integer,,Unread Messages Counter,False,both
1,project_id,many2one,project.project,Project,many2one,project.project,Project,False,both
1,date_last_stage_update,datetime,,Last Stage Update,datetime,,Last Stage Update,False,both
1,date_assign,datetime,,Assigning Date,datetime,,Assigning Date,False,both
1,description,html,,Description,html,,Description,False,both
1,message_partner_ids,many2many,res.partner,Followers (Partners),many2many,res.partner,Followers (Partners),False,both
1,kanban_state,selection,,Kanban State,selection,,Kanban State,True,both
1,legend_done,char,,Kanban Valid Explanation,char,,Kanban Valid Explanation,False,both
1,write_date,datetime,,Write date,datetime,,Last Updated On,False,both
1,active,boolean,,Active,boolean,,Active,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,legend_normal,char,,Kanban Ongoing Explanation,char,,Kanban Ongoing Explanation,False,both
1,stage_id,many2one,project.task.type,Stage,many2one,project.task.type,Stage,False,both
1,name,char,,Task Title,char,,Title,True,both
1,date_deadline,date,,Deadline,date,,Deadline,False,both
1,message_unread,boolean,,Unread Messages,boolean,,Unread Messages,False,both
1,message_needaction_counter,integer,,Number of Actions,integer,,Number of Actions,False,both
1,user_email,char,,User Email,char,,User Email,False,both
,,,,
1,notes,text,,Notes,,,,False,version 1
2,date_start,datetime,,Starting Date,,,,False,version 1
3,message_last_post,datetime,,Last Message Date,,,,False,version 1
4,remaining_hours,float,,Remaining Hours,,,,False,version 1
,,,,
5,allow_recurring_tasks,,,,boolean,,Recurring Tasks,False,version 2
6,recurrence_id,,,,many2one,project.task.recurrence,Recurrence,False,version 2
7,partner_street,,,,char,,Street,False,version 2
8,message_main_attachment_id,,,,many2one,ir.attachment,Main Attachment,False,version 2
9,ribbon_message,,,,char,,Ribbon message,False,version 2
10,working_days_close,,,,float,,Working days to close,False,version 2
11,partner_zip,,,,char,,Zip,False,version 2
12,repeat_on_year,,,,selection,,Repeat On Year,False,version 2
13,is_closed,,,,boolean,,Closing Stage,False,version 2
14,activity_date_deadline,,,,date,,Next Activity Deadline,False,version 2
15,planned_date_begin,,,,datetime,,Start date,False,version 2
16,wed,,,,boolean,,Wed,False,version 2
17,message_has_sms_error,,,,boolean,,SMS Delivery error,False,version 2
18,activity_exception_icon,,,,char,,Icon,False,version 2
19,fri,,,,boolean,,Fri,False,version 2
20,repeat_day,,,,selection,,Repeat Day,False,version 2
21,kanban_state_label,,,,char,,Kanban State Label,False,version 2
22,parent_id,,,,many2one,project.task,Parent Task,False,version 2
23,rating_count,,,,integer,,Rating count,False,version 2
24,email_cc,,,,char,,Email cc,False,version 2
25,activity_user_id,,,,many2one,res.users,Responsible User,False,version 2
26,rating_last_feedback,,,,text,,Rating Last Feedback,False,version 2
27,subtask_project_id,,,,many2one,project.project,Sub-task Project,False,version 2
28,planned_date_end,,,,datetime,,End date,False,version 2
29,child_ids,,,,one2many,project.task,Sub-tasks,False,version 2
30,sale_order_id,,,,many2one,sale.order,Sales Order,False,version 2
31,mon,,,,boolean,,Mon,False,version 2
32,invoice_count,,,,integer,,Number of invoices,False,version 2
33,recurrence_message,,,,char,,Next Recurrencies,False,version 2
34,repeat_show_day,,,,boolean,,Repeat Show Day,False,version 2
35,activity_type_id,,,,many2one,mail.activity.type,Next Activity Type,False,version 2
36,activity_ids,,,,one2many,mail.activity,Activities,False,version 2
37,allow_subtasks,,,,boolean,,Allow Sub-tasks,False,version 2
38,recurring_task,,,,boolean,,Recurrent,False,version 2
39,recurring_count,,,,integer,,Tasks in Recurrence,False,version 2
40,partner_city,,,,char,,City,False,version 2
41,project_privacy_visibility,,,,selection,,Project Visibility,False,version 2
42,access_token,,,,char,,Security Token,False,version 2
43,activity_state,,,,selection,,Activity State,False,version 2
44,rating_ids,,,,one2many,rating.rating,Rating,False,version 2
45,website_message_ids,,,,one2many,mail.message,Website Messages,False,version 2
46,repeat_show_week,,,,boolean,,Repeat Show Week,False,version 2
47,commercial_partner_id,,,,many2one,res.partner,Commercial Entity,False,version 2
48,sale_line_id,,,,many2one,sale.order.line,Sales Order Item,False,version 2
49,repeat_weekday,,,,selection,,Day Of The Week,False,version 2
50,partner_is_company,,,,boolean,,Is a Company,False,version 2
51,project_sale_order_id,,,,many2one,sale.order,Project's sale order,False,version 2
52,message_has_error,,,,boolean,,Message Delivery error,False,version 2
53,repeat_on_month,,,,selection,,Repeat On Month,False,version 2
54,access_warning,,,,text,,Access warning,False,version 2
55,repeat_number,,,,integer,,Repetitions,False,version 2
56,sat,,,,boolean,,Sat,False,version 2
57,repeat_unit,,,,selection,,Repeat Unit,False,version 2
58,repeat_interval,,,,integer,,Repeat Every,False,version 2
59,activity_exception_decoration,,,,selection,,Activity Exception Decoration,False,version 2
60,sun,,,,boolean,,Sun,False,version 2
61,activity_type_icon,,,,char,,Activity Type Icon,False,version 2
62,working_hours_close,,,,float,,Working hours to close,False,version 2
63,rating_last_image,,,,binary,,Rating Last Image,False,version 2
64,working_hours_open,,,,float,,Working hours to assign,False,version 2
65,message_attachment_count,,,,integer,,Attachment Count,False,version 2
66,repeat_show_dow,,,,boolean,,Repeat Show Dow,False,version 2
67,working_days_open,,,,float,,Working days to assign,False,version 2
68,partner_email,,,,char,,Email,False,version 2
69,subtask_count,,,,integer,,Sub-task count,False,version 2
70,rating_avg,,,,float,,Rating Average,False,version 2
71,message_has_error_counter,,,,integer,,Number of errors,False,version 2
72,allowed_user_ids,,,,many2many,res.users,Visible to,False,version 2
73,subtask_planned_hours,,,,float,,Sub-tasks Planned Hours,False,version 2
74,repeat_month,,,,selection,,Repeat Month,False,version 2
75,recurrence_update,,,,selection,,Recurrence Update,False,version 2
76,task_to_invoice,,,,boolean,,To invoice,False,version 2
77,tue,,,,boolean,,Tue,False,version 2
78,repeat_type,,,,selection,,Until,False,version 2
79,repeat_until,,,,date,,End Date,False,version 2
80,project_color,,,,integer,,Project color,False,version 2
81,activity_summary,,,,char,,Next Activity Summary,False,version 2
82,repeat_week,,,,selection,,Repeat Week,False,version 2
83,thu,,,,boolean,,Thu,False,version 2
84,repeat_show_month,,,,boolean,,Repeat Show Month,False,version 2
85,email_from,,,,char,,Email From,False,version 2
86,partner_phone,,,,char,,Phone,False,version 2
87,rating_last_value,,,,float,,Rating Last Value,False,version 2
88,access_url,,,,char,,Portal Access URL,False,version 2
89,partner_mobile,,,,char,,Mobile,False,version 2
,,,,
,,,,
