model,report.paperformat,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,page_width,integer,integer,,Page width (mm),Page width (mm),False,both
3,display_name,char,char,,Display Name,Display Name,False,both
4,name,char,char,,Name,Name,True,both
5,header_line,boolean,boolean,,Display a header line,Display a header line,False,both
6,default,boolean,boolean,,Default paper format ?,Default paper format ?,False,both
7,format,selection,selection,,Paper size,Paper size,False,both
8,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
9,header_spacing,integer,integer,,Header spacing,Header spacing,False,both
10,dpi,integer,integer,,Output DPI,Output DPI,True,both
11,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
12,margin_right,float,float,,Right Margin (mm),Right Margin (mm),False,both
13,margin_top,float,float,,Top Margin (mm),Top Margin (mm),False,both
14,margin_left,float,float,,Left Margin (mm),Left Margin (mm),False,both
15,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
16,margin_bottom,float,float,,Bottom Margin (mm),Bottom Margin (mm),False,both
17,create_date,datetime,datetime,,Created on,Created on,False,both
18,report_ids,one2many,one2many,ir.actions.report,Associated reports,Associated reports,False,both
19,id,integer,integer,,ID,ID,False,both
20,page_height,integer,integer,,Page height (mm),Page height (mm),False,both
21,orientation,selection,selection,,Orientation,Orientation,False,both
,,,,
,,,,
22,print_page_width,,float,,,Print page width (mm),False,version 2
23,print_page_height,,float,,,Print page height (mm),False,version 2
,,,,
,,,,
