model,res.company,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,fiscalyear_lock_date,date,date,,Lock Date,Lock Date,False,both
2,bank_account_code_prefix,char,char,,Prefix of the bank accounts,Prefix of the bank accounts,False,both
3,cash_account_code_prefix,char,char,,Prefix of the cash accounts,Prefix of the cash accounts,False,both
4,create_date,datetime,datetime,,Created on,Created on,False,both
5,sequence,integer,integer,,Sequence,Sequence,False,both
6,security_lead,float,float,,Sales Safety Days,Sales Safety Days,True,both
7,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
8,currency_id,many2one,many2one,res.currency,Currency,Currency,True,both
9,anglo_saxon_accounting,boolean,boolean,,Use anglo-saxon accounting,Use anglo-saxon accounting,False,both
10,logo_web,binary,binary,,Logo web,Logo Web,False,both
11,po_lead,float,float,,Purchase Lead Time,Purchase Lead Time,True,both
12,fiscalyear_last_day,integer,integer,,Fiscalyear last day,Fiscalyear Last Day,True,both
13,logo,binary,binary,,Image,Company Logo,False,both
14,font,many2one,selection,,Font,Font,False,both
15,partner_id,many2one,many2one,res.partner,Partner,Partner,True,both
16,expects_chart_of_accounts,boolean,boolean,,Expects a Chart of Accounts,Expects a Chart of Accounts,False,both
17,po_double_validation_amount,monetary,monetary,,Double validation amount,Double validation amount,False,both
18,city,char,char,,City,City,False,both
19,property_stock_valuation_account_id,many2one,many2one,account.account,Account Template for Stock Valuation,Account Template for Stock Valuation,False,both
20,display_name,char,char,,Display Name,Display Name,False,both
21,zip,char,char,,Zip,Zip,False,both
22,parent_id,many2one,many2one,res.company,Parent Company,Parent Company,False,both
23,transfer_account_id,many2one,many2one,account.account,Inter-Banks Transfer Account,Inter-Banks Transfer Account,False,both
24,bank_journal_ids,one2many,one2many,account.journal,Bank Journals,Bank Journals,False,both
25,country_id,many2one,many2one,res.country,Country,Country,False,both
26,expense_currency_exchange_account_id,many2one,many2one,account.account,Loss Exchange Rate Account,Loss Exchange Rate Account,False,both
27,id,integer,integer,,ID,ID,False,both
28,property_stock_account_output_categ_id,many2one,many2one,account.account,Output Account for Stock Valuation,Output Account for Stock Valuation,False,both
29,paperformat_id,many2one,many2one,report.paperformat,Paper format,Paper format,False,both
30,po_lock,selection,selection,,Purchase Order Modification,Purchase Order Modification,False,both
31,property_stock_account_input_categ_id,many2one,many2one,account.account,Input Account for Stock Valuation,Input Account for Stock Valuation,False,both
32,period_lock_date,date,date,,Lock Date for Non-Advisers,Lock Date for Non-Advisers,False,both
33,website,char,char,,Website,Website Link,False,both
34,bank_ids,one2many,one2many,res.partner.bank,Bank Accounts,Bank Accounts,False,both
35,manufacturing_lead,float,float,,Manufacturing Lead Time,Manufacturing Lead Time,True,both
36,street2,char,char,,Street2,Street2,False,both
37,child_ids,one2many,one2many,res.company,Child Companies,Child Companies,False,both
38,phone,char,char,,Phone,Phone,False,both
39,user_ids,many2many,many2many,res.users,Accepted Users,Accepted Users,False,both
40,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
41,company_registry,char,char,,Company registry,Company Registry,False,both
42,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
43,name,char,char,,Company Name,Company Name,True,both
44,po_double_validation,selection,selection,,Levels of Approvals,Levels of Approvals,False,both
45,chart_template_id,many2one,many2one,account.chart.template,Chart template id,Chart Template,False,both
46,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
47,currency_exchange_journal_id,many2one,many2one,account.journal,Exchange Gain or Loss Journal,Exchange Gain or Loss Journal,False,both
48,street,char,char,,Street,Street,False,both
49,vat,char,char,,Tax ID,Tax ID,False,both
50,state_id,many2one,many2one,res.country.state,Fed. State,Fed. State,False,both
51,fiscalyear_last_month,selection,selection,,Fiscalyear last month,Fiscalyear Last Month,True,both
52,tax_calculation_rounding_method,selection,selection,,Tax Calculation Rounding Method,Tax Calculation Rounding Method,False,both
53,internal_transit_location_id,many2one,many2one,stock.location,Internal Transit Location,Internal Transit Location,False,both
54,email,char,char,,Email,Email,False,both
55,income_currency_exchange_account_id,many2one,many2one,account.account,Gain Exchange Rate Account,Gain Exchange Rate Account,False,both
,,,,
56,sale_note,text,,,Default Terms and Conditions,,False,version 1
57,fax,char,,,Fax,,False,version 1
58,rml_footer,text,,,Custom Report Footer,,False,version 1
59,rml_header,text,,,Rml header,,True,version 1
60,propagation_minimum_delta,integer,,,Minimum Delta for Propagation of a Date Change on moves linked together,,False,version 1
61,rml_paper_format,selection,,,Paper Format,,True,version 1
62,custom_footer,boolean,,,Custom footer,,False,version 1
63,accounts_code_digits,integer,,,Number of digits in an account code,,False,version 1
64,rml_header2,text,,,RML Internal Header,,True,version 1
65,rml_header3,text,,,RML Internal Header for Landscape Reports,,True,version 1
66,rml_header1,char,,,Company Tagline,,False,version 1
67,account_no,char,,,Account No.,,False,version 1
68,overdue_msg,text,,,Overdue Payments Message,,False,version 1
69,rml_footer_readonly,text,,,Report Footer,,False,version 1
70,project_time_mode_id,many2one,,product.uom,Project Time Unit,,False,version 1
,,,,
71,invoicing_switch_threshold,,date,,,Invoicing Switch Threshold,False,version 2
72,days_to_purchase,,float,,,Days to Purchase,False,version 2
73,stock_move_email_validation,,boolean,,,Email Confirmation picking,False,version 2
74,account_revaluation_expense_provision_account_id,,many2one,account.account,,Expense Provision Account,False,version 2
75,revenue_accrual_account_id,,many2one,account.account,,Revenue Accrual Account,False,version 2
76,country_code,,char,,,Country Code,False,version 2
77,quotation_validity_days,,integer,,,Default Quotation Validity (Days),False,version 2
78,account_invoice_onboarding_state,,selection,,,State of the account invoice onboarding panel,False,version 2
79,qr_code,,boolean,,,Display QR-code on invoices,False,version 2
80,extract_show_ocr_option_selection,,selection,,,Send mode on invoices attachments,False,version 2
81,primary_color,,char,,,Primary Color,False,version 2
82,invoice_is_print,,boolean,,,Print by default,False,version 2
83,external_report_layout_id,,many2one,ir.ui.view,,Document Template,False,version 2
84,invoice_is_email,,boolean,,,Email by default,False,version 2
85,account_tax_original_periodicity_reminder_day,,integer,,,Start from original,False,version 2
86,account_tax_periodicity,,selection,,,Delay units,False,version 2
87,snailmail_cover,,boolean,,,Add a Cover Page,False,version 2
88,tax_cash_basis_journal_id,,many2one,account.journal,,Cash Basis Journal,False,version 2
89,account_tax_next_activity_type,,many2one,mail.activity.type,,Account Tax Next Activity Type,False,version 2
90,account_setup_fy_data_state,,selection,,,State of the onboarding fiscal year step,False,version 2
91,invoice_is_snailmail,,boolean,,,Send by Post,False,version 2
92,hr_presence_control_email_amount,,integer,,,# emails to send,False,version 2
93,tax_exigibility,,boolean,,,Use Cash Basis,False,version 2
94,social_instagram,,char,,,Instagram Account,False,version 2
95,account_setup_coa_state,,selection,,,State of the onboarding charts of account step,False,version 2
96,social_linkedin,,char,,,LinkedIn Account,False,version 2
97,stock_sms_confirmation_template_id,,many2one,sms.template,,SMS Template,False,version 2
98,account_onboarding_sale_tax_state,,selection,,,State of the onboarding sale tax step,False,version 2
99,account_sale_tax_id,,many2one,account.tax,,Default Sale Tax,False,version 2
100,account_tax_periodicity_journal_id,,many2one,account.journal,,Journal,False,version 2
101,secondary_color,,char,,,Secondary Color,False,version 2
102,account_tax_periodicity_reminder_day,,integer,,,Start from,False,version 2
103,sale_onboarding_order_confirmation_state,,selection,,,State of the onboarding confirmation order step,False,version 2
104,totals_below_sections,,boolean,,,Add totals below sections,False,version 2
105,currency_interval_unit,,selection,,,Interval Unit,False,version 2
106,sale_onboarding_sample_quotation_state,,selection,,,State of the onboarding sample quotation step,False,version 2
107,default_cash_difference_expense_account_id,,many2one,account.account,,Cash Difference Expense Account,False,version 2
108,catchall_formatted,,char,,,Catchall,False,version 2
109,transfer_account_code_prefix,,char,,,Prefix of the transfer accounts,False,version 2
110,account_cash_basis_base_account_id,,many2one,account.account,,Base Tax Received Account,False,version 2
