model,resource.calendar,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
2,display_name,char,,Display Name,char,,Display Name,False,both
3,name,char,,Name,char,,Name,True,both
4,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
5,leave_ids,one2many,resource.calendar.leaves,Leaves,one2many,resource.calendar.leaves,Time Off,False,both
6,company_id,many2one,res.company,Company,many2one,res.company,Company,False,both
7,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
8,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
9,create_date,datetime,,Created on,datetime,,Created on,False,both
10,attendance_ids,one2many,resource.calendar.attendance,Working Time,one2many,resource.calendar.attendance,Working Time,False,both
11,id,integer,,ID,integer,,ID,False,both
,,,,
12,manager,many2one,res.users,Workgroup Manager,,,,False,version 1
,,,,
13,global_leave_ids,,,,one2many,resource.calendar.leaves,Global Time Off,False,version 2
14,active,,,,boolean,,Active,False,version 2
15,tz,,,,selection,,Timezone,True,version 2
16,two_weeks_explanation,,,,char,,Explanation,False,version 2
17,two_weeks_calendar,,,,boolean,,Calendar in 2 weeks mode,False,version 2
18,hours_per_day,,,,float,,Average Hour per Day,False,version 2
,,,,
,,,,
