model;sale.order;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;origin;char;;Source Document;char;;Source Document;False;both
2;message_follower_ids;one2many;mail.followers;Followers;one2many;mail.followers;Followers;False;both
3;create_date;datetime;;Creation Date;datetime;;Creation Date;False;both
4;order_line;one2many;sale.order.line;Order Lines;one2many;sale.order.line;Order Lines;False;both
5;message_needaction;boolean;;Action Needed;boolean;;Action Needed;False;both
6;message_channel_ids;many2many;mail.channel;Followers (Channels);many2many;mail.channel;Followers (Channels);False;both
7;message_partner_ids;many2many;res.partner;Followers (Partners);many2many;res.partner;Followers (Partners);False;both
8;write_uid;many2one;res.users;Last Updated by;many2one;res.users;Last Updated by;False;both
9;currency_id;many2one;res.currency;Currency;many2one;res.currency;Currency;False;both
10;invoice_ids;many2many;account.invoice;Invoices;many2many;account.move;Invoices;False;both
11;team_id;many2one;crm.team;Sales Team;many2one;crm.team;Sales Team;False;both
12;client_order_ref;char;;Customer Reference;char;;Customer Reference;False;both
13;date_order;datetime;;Order Date;datetime;;Order Date;True;both
14;partner_id;many2one;res.partner;Customer;many2one;res.partner;Customer;True;both
15;message_ids;one2many;mail.message;Messages;one2many;mail.message;Messages;False;both
16;amount_tax;monetary;;Taxes;monetary;;Taxes;False;both
17;delivery_count;integer;;Delivery Orders;integer;;Delivery Orders;False;both
18;amount_untaxed;monetary;;Untaxed Amount;monetary;;Untaxed Amount;False;both
19;invoice_status;selection;;Invoice Status;selection;;Invoice Status;False;both
20;message_is_follower;boolean;;Is Follower;boolean;;Is Follower;False;both
21;__last_update;datetime;;Last Modified on;datetime;;Last Modified on;False;both
22;cart_quantity;integer;;Cart Quantity;integer;;Cart Quantity;False;both
23;company_id;many2one;res.company;Company;many2one;res.company;Company;True;both
24;id;integer;;ID;integer;;ID;False;both
25;note;text;;Terms and conditions;text;;Terms and conditions;False;both
26;picking_policy;selection;;Shipping Policy;selection;;Shipping Policy;True;both
27;state;selection;;Status;selection;;Status;False;both
28;pricelist_id;many2one;product.pricelist;Pricelist;many2one;product.pricelist;Pricelist;True;both
29;message_unread_counter;integer;;Unread Messages Counter;integer;;Unread Messages Counter;False;both
30;project_id;many2one;account.analytic.account;Analytic Account;many2one;project.project;Project;False;both
31;incoterm;many2one;stock.incoterms;Incoterms;many2one;account.incoterms;Incoterm;False;both
32;create_uid;many2one;res.users;Created by;many2one;res.users;Created by;False;both
33;validity_date;date;;Expiration Date;date;;Expiration;False;both
34;procurement_group_id;many2one;procurement.group;Procurement Group;many2one;procurement.group;Procurement Group;False;both
35;warehouse_id;many2one;stock.warehouse;Warehouse;many2one;stock.warehouse;Warehouse;True;both
36;payment_term_id;many2one;account.payment.term;Payment Terms;many2one;account.payment.term;Payment Terms;False;both
37;write_date;datetime;;Last Updated on;datetime;;Last Updated on;False;both
