model,sale.order.line,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,qty_to_invoice,float,,To Invoice,float,,To Invoice Quantity,False,both
1,analytic_tag_ids,many2many,account.analytic.tag,Analytic Tags,many2many,account.analytic.tag,Analytic Tags,False,both
1,price_unit,float,,Unit Price,float,,Unit Price,True,both
1,product_uom_qty,float,,Quantity,float,,Quantity,True,both
1,qty_invoiced,float,,Invoiced,float,,Invoiced Quantity,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,currency_id,many2one,res.currency,Currency,many2one,res.currency,Currency,False,both
1,id,integer,,ID,integer,,ID,False,both
1,price_reduce_taxexcl,monetary,,Price Reduce Tax excl,monetary,,Price Reduce Tax excl,False,both
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,price_tax,monetary,,Taxes,float,,Total Tax,False,both
1,product_uom,many2one,product.uom,Unit of Measure,many2one,uom.uom,Unit of Measure,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,customer_lead,float,,Delivery Lead Time,float,,Lead Time,True,both
1,sequence,integer,,Sequence,integer,,Sequence,False,both
1,company_id,many2one,res.company,Company,many2one,res.company,Company,False,both
1,state,selection,,Order Status,selection,,Order Status,False,both
1,order_partner_id,many2one,res.partner,Customer,many2one,res.partner,Customer,False,both
1,product_packaging,many2one,product.packaging,Packaging,many2one,product.packaging,Package,False,both
1,order_id,many2one,sale.order,Order Reference,many2one,sale.order,Order Reference,True,both
1,price_subtotal,monetary,,Subtotal,monetary,,Subtotal,False,both
1,discount,float,,Discount (%),float,,Discount (%),False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,price_reduce,monetary,,Price Reduce,float,,Price Reduce,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,qty_delivered,float,,Delivered,float,,Delivered Quantity,False,both
1,tax_id,many2many,account.tax,Taxes,many2many,account.tax,Taxes,False,both
1,price_reduce_taxinc,monetary,,Price Reduce Tax inc,monetary,,Price Reduce Tax inc,False,both
1,price_total,monetary,,Total,monetary,,Total,False,both
1,invoice_status,selection,,Invoice Status,selection,,Invoice Status,False,both
1,name,text,,Description,text,,Description,True,both
1,invoice_lines,many2many,account.invoice.line,Invoice Lines,many2many,account.move.line,Invoice Lines,False,both
1,salesman_id,many2one,res.users,Salesperson,many2one,res.users,Salesperson,False,both
1,route_id,many2one,stock.location.route,Route,many2one,stock.location.route,Route,False,both
1,product_id,many2one,product.product,Product,many2one,product.product,Product,False,both
,,,,
1,procurement_ids,one2many,procurement.order,Procurements,,,,False,version 1
2,qty_delivered_updateable,boolean,,Can Edit Delivered,,,,False,version 1
3,layout_category_sequence,integer,,Layout Sequence,,,,False,version 1
4,product_tmpl_id,many2one,product.template,Product Template,,,,False,version 1
5,layout_category_id,many2one,sale.layout_category,Section,,,,False,version 1
,,,,
6,is_service,,,,boolean,,Is a Service,False,version 2
7,qty_to_deliver,,,,float,,Qty To Deliver,False,version 2
8,name_short,,,,char,,Name Short,False,version 2
9,purchase_line_ids,,,,one2many,purchase.order.line,Generated Purchase Lines,False,version 2
10,purchase_line_count,,,,integer,,Number of generated purchase items,False,version 2
11,product_template_id,,,,many2one,product.template,Product Template,False,version 2
12,project_id,,,,many2one,project.project,Generated Project,False,version 2
13,qty_delivered_manual,,,,float,,Delivered Manually,False,version 2
14,product_no_variant_attribute_value_ids,,,,many2many,product.template.attribute.value,Extra Values,False,version 2
15,untaxed_amount_to_invoice,,,,monetary,,Untaxed Amount To Invoice,False,version 2
16,is_expense,,,,boolean,,Is expense,False,version 2
17,warehouse_id,,,,many2one,stock.warehouse,Warehouse,False,version 2
18,scheduled_date,,,,datetime,,Scheduled Date,False,version 2
19,product_type,,,,selection,,Product Type,False,version 2
20,sale_order_option_ids,,,,one2many,sale.order.option,Optional Products Lines,False,version 2
21,product_uom_category_id,,,,many2one,uom.category,Category,False,version 2
22,forecast_expected_date,,,,datetime,,Forecast Expected Date,False,version 2
23,linked_line_id,,,,many2one,sale.order.line,Linked Order Line,False,version 2
24,warning_stock,,,,char,,Warning,False,version 2
25,qty_available_today,,,,float,,Qty Available Today,False,version 2
26,display_qty_widget,,,,boolean,,Display Qty Widget,False,version 2
27,virtual_available_at_date,,,,float,,Virtual Available At Date,False,version 2
28,move_ids,,,,one2many,stock.move,Stock Moves,False,version 2
29,untaxed_amount_invoiced,,,,monetary,,Untaxed Invoiced Amount,False,version 2
30,option_line_ids,,,,one2many,sale.order.line,Options Linked,False,version 2
31,product_uom_readonly,,,,boolean,,Product Uom Readonly,False,version 2
32,product_custom_attribute_value_ids,,,,one2many,product.attribute.custom.value,Custom Values,False,version 2
33,product_template_attribute_value_ids,,,,many2many,product.template.attribute.value,Attribute Values,False,version 2
34,analytic_line_ids,,,,one2many,account.analytic.line,Analytic lines,False,version 2
35,is_mto,,,,boolean,,Is Mto,False,version 2
36,free_qty_today,,,,float,,Free Qty Today,False,version 2
37,display_type,,,,selection,,Display Type,False,version 2
38,task_id,,,,many2one,project.task,Generated Task,False,version 2
39,product_updatable,,,,boolean,,Can Edit Product,False,version 2
40,qty_delivered_method,,,,selection,,Method to update delivered qty,False,version 2
41,is_downpayment,,,,boolean,,Is a down payment,False,version 2
42,is_configurable_product,,,,boolean,,Is the product configurable?,False,version 2
,,,,
,,,,
