model,stock.backorder.confirmation,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,id,integer,,ID,integer,,ID,False,both
,,,,
1,pick_id,many2one,stock.picking,Pick id,,,,False,version 1
,,,,
2,show_transfers,,,,boolean,,Show Transfers,False,version 2
3,backorder_confirmation_line_ids,,,,one2many,stock.backorder.confirmation.line,Backorder Confirmation Lines,False,version 2
4,pick_ids,,,,many2many,stock.picking,Pick,False,version 2
,,,,
,,,,
