model,stock.change.product.qty,transient,True
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,display_name,char,char,,Display Name,Display Name,False,both
3,product_id,many2one,many2one,product.product,Product,Product,True,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
5,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
6,product_tmpl_id,many2one,many2one,product.template,Template,Template,True,both
7,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
8,create_date,datetime,datetime,,Created on,Created on,False,both
9,new_quantity,float,float,,New Quantity on Hand,New Quantity on Hand,True,both
10,id,integer,integer,,ID,ID,False,both
11,product_variant_count,integer,integer,,Variant Count,Variant Count,False,both
,,,,
12,lot_id,many2one,,stock.production.lot,Lot/Serial Number,,False,version 1
13,location_id,many2one,,stock.location,Location,,True,version 1
,,,,
,,,,
,,,,
