model;stock.location;transient;False
no;field;type1;relation1;string1;type2;relation2;string2;required;source
1;comment;text;;Additional Information;text;;Additional Information;False;both
2;create_date;datetime;;Created on;datetime;;Created on;False;both
3;write_date;datetime;;Last Updated on;datetime;;Last Updated on;False;both
4;write_uid;many2one;res.users;Last Updated by;many2one;res.users;Last Updated by;False;both
5;valuation_in_account_id;many2one;account.account;Stock Valuation Account (Incoming);many2one;account.account;Stock Valuation Account (Incoming);False;both
6;location_id;many2one;stock.location;Parent Location;many2one;stock.location;Parent Location;False;both
7;id;integer;;ID;integer;;ID;False;both
8;removal_strategy_id;many2one;product.removal;Removal Strategy;many2one;product.removal;Removal Strategy;False;both
9;scrap_location;boolean;;Is a Scrap Location?;boolean;;Is a Scrap Location?;False;both
10;display_name;char;;Display Name;char;;Display Name;False;both
11;__last_update;datetime;;Last Modified on;datetime;;Last Modified on;False;both
12;company_id;many2one;res.company;Company;many2one;res.company;Company;False;both
13;complete_name;char;;Full Location Name;char;;Full Location Name;False;both
14;usage;selection;;Location Type;selection;;Location Type;True;both
15;create_uid;many2one;res.users;Created by;many2one;res.users;Created by;False;both
16;barcode;char;;Barcode;char;;Barcode;False;both
17;child_ids;one2many;stock.location;Contains;one2many;stock.location;Contains;False;both
18;posz;integer;;Height (Z);integer;;Height (Z);False;both
19;posx;integer;;Corridor (X);integer;;Corridor (X);False;both
20;posy;integer;;Shelves (Y);integer;;Shelves (Y);False;both
21;active;boolean;;Active;boolean;;Active;False;both
22;valuation_out_account_id;many2one;account.account;Stock Valuation Account (Outgoing);many2one;account.account;Stock Valuation Account (Outgoing);False;both
23;name;char;;Location Name;char;;Location Name;True;both
24;return_location;boolean;;Is a Return Location?;boolean;;Is a Return Location?;False;both
;;;;
25;putaway_strategy_id;many2one;product.putaway;Put Away Strategy;;;;False;version 1
26;parent_right;integer;;Right Parent;;;;False;version 1
27;parent_left;integer;;Left Parent;;;;False;version 1
28;partner_id;many2one;res.partner;Owner;;;;False;version 1
;;;;
29;parent_path;;;;char;;Parent Path;False;version 2
30;quant_ids;;;;one2many;stock.quant;Quant;False;version 2
31;putaway_rule_ids;;;;one2many;stock.putaway.rule;Putaway Rules;False;version 2
;;;;
;;;;
