model,stock.move,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,origin,char,,Source Document,char,,Source Document,False,both
2,create_date,datetime,,Creation Date,datetime,,Creation Date,False,both
3,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
4,product_uom,many2one,product.uom,Unit of Measure,many2one,uom.uom,Unit of Measure,True,both
5,move_orig_ids,one2many,stock.move,Original Move,many2many,stock.move,Original Move,False,both
6,has_tracking,selection,,Product with Tracking,selection,,Product with Tracking,False,both
7,price_unit,float,,Unit Price,float,,Unit Price,False,both
8,product_uom_qty,float,,Quantity,float,,Demand,True,both
9,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
10,date,datetime,,Date,datetime,,Date Scheduled,True,both
11,workorder_id,many2one,mrp.workorder,Work Order To Consume,many2one,mrp.workorder,Work Order To Consume,False,both
12,product_qty,float,,Real Quantity,float,,Real Quantity,False,both
13,unit_factor,float,,Unit Factor,float,,Unit Factor,False,both
14,partner_id,many2one,res.partner,Destination Address ,many2one,res.partner,Destination Address ,False,both
15,availability,float,,Forecasted Quantity,float,,Forecasted Quantity,False,both
16,note,text,,Notes,text,,Notes,False,both
17,display_name,char,,Display Name,char,,Display Name,False,both
18,consume_unbuild_id,many2one,mrp.unbuild,Consume Unbuild Order,many2one,mrp.unbuild,Consumed Disassembly Order,False,both
19,picking_type_id,many2one,stock.picking.type,Picking Type,many2one,stock.picking.type,Operation Type,False,both
20,location_id,many2one,stock.location,Source Location,many2one,stock.location,Source Location,True,both
21,sequence,integer,,Sequence,integer,,Sequence,False,both
22,is_done,boolean,,Done,boolean,,Done,False,both
23,company_id,many2one,res.company,Company,many2one,res.company,Company,True,both
24,id,integer,,ID,integer,,ID,False,both
25,priority,selection,,Priority,selection,,Priority,False,both
26,state,selection,,Status,selection,,Status,False,both
27,origin_returned_move_id,many2one,stock.move,Origin return move,many2one,stock.move,Origin return move,False,both
28,bom_line_id,many2one,mrp.bom.line,BoM Line,many2one,mrp.bom.line,BoM Line,False,both
29,product_tmpl_id,many2one,product.template,Product Template,many2one,product.template,Product Template,False,both
30,returned_move_ids,one2many,stock.move,All returned moves,one2many,stock.move,All returned moves,False,both
31,backorder_id,many2one,stock.picking,Back Order of,many2one,stock.picking,Back Order of,False,both
32,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
33,raw_material_production_id,many2one,mrp.production,Production Order for raw materials,many2one,mrp.production,Production Order for components,False,both
