model,stock.picking,transient,False
no,field,type1,type2,relation,string1,string2,required,source
1,origin,char,char,,Source Document,Source Document,False,both
2,message_follower_ids,one2many,one2many,mail.followers,Followers,Followers,False,both
3,has_scrap_move,boolean,boolean,,Has Scrap Moves,Has Scrap Moves,False,both
4,date_done,datetime,datetime,,Date of Transfer,Date of Transfer,False,both
5,message_needaction,boolean,boolean,,Action Needed,Action Needed,False,both
6,message_channel_ids,many2many,many2many,mail.channel,Followers (Channels),Followers (Channels),False,both
7,message_partner_ids,many2many,many2many,res.partner,Followers (Partners),Followers (Partners),False,both
8,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
9,create_date,datetime,datetime,,Created on,Created on,False,both
10,partner_id,many2one,many2one,res.partner,Partner,Contact,False,both
11,id,integer,integer,,ID,ID,False,both
12,backorder_id,many2one,many2one,stock.picking,Back Order of,Back Order of,False,both
13,purchase_id,many2one,many2one,purchase.order,Purchase Orders,Purchase Orders,False,both
14,note,text,text,,Notes,Notes,False,both
15,display_name,char,char,,Display Name,Display Name,False,both
16,message_is_follower,boolean,boolean,,Is Follower,Is Follower,False,both
17,picking_type_id,many2one,many2one,stock.picking.type,Picking Type,Operation Type,True,both
18,location_id,many2one,many2one,stock.location,Source Location Zone,Source Location,True,both
19,move_type,selection,selection,,Delivery Type,Shipping Policy,True,both
20,sale_id,many2one,many2one,sale.order,Sale Order,Sales Order,False,both
21,company_id,many2one,many2one,res.company,Company,Company,False,both
22,message_ids,one2many,one2many,mail.message,Messages,Messages,False,both
23,priority,selection,selection,,Priority,Priority,False,both
24,state,selection,selection,,Status,Status,False,both
25,picking_type_code,selection,selection,,Type of Operation,Type of Operation,False,both
26,picking_type_entire_packs,boolean,boolean,,Allow moving packs,Move Entire Packages,False,both
27,message_unread_counter,integer,integer,,Unread Messages Counter,Unread Messages Counter,False,both
28,owner_id,many2one,many2one,res.partner,Owner,Assign Owner,False,both
29,move_lines,one2many,one2many,stock.move,Stock Moves,Stock Moves,False,both
30,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
31,printed,boolean,boolean,,Printed,Printed,False,both
32,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
33,date,datetime,datetime,,Creation Date,Creation Date,False,both
34,product_id,many2one,many2one,product.product,Product,Product,False,both
35,group_id,many2one,many2one,procurement.group,Procurement Group,Procurement Group,False,both
36,name,char,char,,Reference,Reference,False,both
37,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
38,location_dest_id,many2one,many2one,stock.location,Destination Location Zone,Destination Location,True,both
39,message_unread,boolean,boolean,,Unread Messages,Unread Messages,False,both
40,message_needaction_counter,integer,integer,,Number of Actions,Number of Actions,False,both
,,,,
41,pack_operation_product_ids,one2many,,stock.pack.operation,Non pack,,False,version 1
42,min_date,datetime,,,Scheduled Date,,False,version 1
43,launch_pack_operations,boolean,,,Launch Pack Operations,,False,version 1
44,pack_operation_ids,one2many,,stock.pack.operation,Related Packing Operations,,False,version 1
45,pack_operation_exist,boolean,,,Has Pack Operations,,False,version 1
46,pack_operation_pack_ids,one2many,,stock.pack.operation,Pack,,False,version 1
47,recompute_pack_op,boolean,,,Recompute pack operation?,,False,version 1
48,message_last_post,datetime,,,Last Message Date,,False,version 1
49,max_date,datetime,,,Max. Expected Date,,False,version 1
50,quant_reserved_exist,boolean,,,Has quants already reserved,,False,version 1
,,,,
51,has_tracking,,boolean,,,Has Tracking,False,version 2
52,activity_type_icon,,char,,,Activity Type Icon,False,version 2
53,message_main_attachment_id,,many2one,ir.attachment,,Main Attachment,False,version 2
54,immediate_transfer,,boolean,,,Immediate Transfer,False,version 2
55,move_ids_without_package,,one2many,stock.move,,Stock moves not in package,False,version 2
56,activity_date_deadline,,date,,,Next Activity Deadline,False,version 2
57,move_line_nosuggest_ids,,one2many,stock.move.line,,Move Line Nosuggest,False,version 2
58,user_id,,many2one,res.users,,Responsible,False,version 2
59,message_has_sms_error,,boolean,,,SMS Delivery error,False,version 2
60,has_deadline_issue,,boolean,,,Is late,False,version 2
61,move_line_exist,,boolean,,,Has Pack Operations,False,version 2
62,activity_user_id,,many2one,res.users,,Responsible User,False,version 2
63,package_level_ids_details,,one2many,stock.package_level,,Package Level Ids Details,False,version 2
64,move_line_ids,,one2many,stock.move.line,,Operations,False,version 2
65,scheduled_date,,datetime,,,Scheduled Date,False,version 2
66,show_reserved,,boolean,,,Pre-fill Detailed Operations,False,version 2
67,show_operations,,boolean,,,Show Operations,False,version 2
68,activity_type_id,,many2one,mail.activity.type,,Next Activity Type,False,version 2
69,activity_ids,,one2many,mail.activity,,Activities,False,version 2
70,date_deadline,,datetime,,,Deadline,False,version 2
71,activity_exception_icon,,char,,,Icon,False,version 2
72,products_availability_state,,selection,,,Products Availability State,False,version 2
73,activity_state,,selection,,,Activity State,False,version 2
74,show_mark_as_todo,,boolean,,,Show Mark As Todo,False,version 2
75,show_check_availability,,boolean,,,Show Check Availability,False,version 2
76,show_lots_text,,boolean,,,Show Lots Text,False,version 2
77,website_id,,many2one,website,,Website,False,version 2
78,move_line_ids_without_package,,one2many,stock.move.line,,Operations without package,False,version 2
79,message_has_error,,boolean,,,Message Delivery error,False,version 2
80,show_validate,,boolean,,,Show Validate,False,version 2
81,products_availability,,char,,,Product Availability,False,version 2
82,activity_exception_decoration,,selection,,,Activity Exception Decoration,False,version 2
83,hide_picking_type,,boolean,,,Hide Picking Type,False,version 2
84,message_attachment_count,,integer,,,Attachment Count,False,version 2
85,has_packages,,boolean,,,Has Packages,False,version 2
86,message_has_error_counter,,integer,,,Number of errors,False,version 2
87,package_level_ids,,one2many,stock.package_level,,Package Level,False,version 2
88,website_message_ids,,one2many,mail.message,,Website Messages,False,version 2
89,json_popover,,char,,,JSON data for the popover widget,False,version 2
90,backorder_ids,,one2many,stock.picking,,Back Orders,False,version 2
91,activity_summary,,char,,,Next Activity Summary,False,version 2
92,is_locked,,boolean,,,Is Locked,False,version 2
93,delay_alert_date,,datetime,,,Delay Alert Date,False,version 2
94,use_create_lots,,boolean,,,Create New Lots/Serial Numbers,False,version 2
95,signature,,binary,,,Signature,False,version 2
,,,,
,,,,
