model,stock.return.picking,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,move_dest_exists,boolean,,Chained Move Exists,boolean,,Chained Move Exists,False,both
1,original_location_id,many2one,stock.location,Original location id,many2one,stock.location,Original Location,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
1,product_return_moves,one2many,stock.return.picking.line,Moves,one2many,stock.return.picking.line,Moves,False,both
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,parent_location_id,many2one,stock.location,Parent location id,many2one,stock.location,Parent Location,False,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,location_id,many2one,stock.location,Return Location,many2one,stock.location,Return Location,False,both
1,id,integer,,ID,integer,,ID,False,both
,,,,
,,,,
1,company_id,,,,many2one,res.company,Company,False,version 2
2,picking_id,,,,many2one,stock.picking,Picking,False,version 2
,,,,
,,,,
