model,stock.scrap,transient,False
no,field,type1,type2,relation,string1,string2,source
1,origin,char,char,,Source Document,Source Document,both
2,create_date,datetime,datetime,,Created on,Created on,both
3,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,both
4,package_id,many2one,many2one,stock.quant.package,Package,Package,both
5,scrap_qty,float,float,,Quantity,Quantity,both
6,lot_id,many2one,many2one,stock.production.lot,Lot,Lot/Serial,both
7,location_id,many2one,many2one,stock.location,Location,Source Location,both
8,id,integer,integer,,ID,ID,both
9,create_uid,many2one,many2one,res.users,Created by,Created by,both
10,display_name,char,char,,Display Name,Display Name,both
11,__last_update,datetime,datetime,,Last Modified on,Last Modified on,both
12,scrap_location_id,many2one,many2one,stock.location,Scrap Location,Scrap Location,both
13,state,selection,selection,,Status,Status,both
14,owner_id,many2one,many2one,res.partner,Owner,Owner,both
15,write_date,datetime,datetime,,Last Updated on,Last Updated on,both
16,move_id,many2one,many2one,stock.move,Scrap Move,Scrap Move,both
17,name,char,char,,Reference,Reference,both
18,tracking,selection,selection,,Tracking,Product Tracking,both
19,product_id,many2one,many2one,product.product,Product,Product,both
20,product_uom_id,many2one,many2one,uom.uom,Unit of Measure,Unit of Measure,both
21,workorder_id,many2one,many2one,mrp.workorder,Work Order,Work Order,both
22,production_id,many2one,many2one,mrp.production,Manufacturing Order,Manufacturing Order,both
23,picking_id,many2one,many2one,stock.picking,Picking,Picking,both
,,,,
24,date_expected,datetime,,,Expected Date,,version 1
,,,,
25,message_follower_ids,,one2many,mail.followers,,Followers,version 2
26,date_done,,datetime,,,Date,version 2
27,message_needaction,,boolean,,,Action Needed,version 2
28,message_channel_ids,,many2many,mail.channel,,Followers (Channels),version 2
29,message_partner_ids,,many2many,res.partner,,Followers (Partners),version 2
30,message_main_attachment_id,,many2one,ir.attachment,,Main Attachment,version 2
31,message_is_follower,,boolean,,,Is Follower,version 2
32,company_id,,many2one,res.company,,Company,version 2
33,message_ids,,one2many,mail.message,,Messages,version 2
34,message_needaction_counter,,integer,,,Number of Actions,version 2
35,message_attachment_count,,integer,,,Attachment Count,version 2
36,message_unread_counter,,integer,,,Unread Messages Counter,version 2
37,message_has_error_counter,,integer,,,Number of errors,version 2
38,website_message_ids,,one2many,mail.message,,Website Messages,version 2
39,message_has_error,,boolean,,,Message Delivery error,version 2
40,product_uom_category_id,,many2one,uom.category,,Category,version 2
41,message_has_sms_error,,boolean,,,SMS Delivery error,version 2
42,message_unread,,boolean,,,Unread Messages,version 2
,,,,
,,,,
