model,tax.adjustments.wizard,transient,True
no,field,type1,type2,relation,string1,string2,required,source
1,create_uid,many2one,many2one,res.users,Created by,Created by,False,both
2,display_name,char,char,,Display Name,Display Name,False,both
3,reason,char,char,,Justification,Justification,True,both
4,__last_update,datetime,datetime,,Last Modified on,Last Modified on,False,both
5,adjustment_type,selection,selection,,Adjustment Type,Adjustment Type,True,both
6,credit_account_id,many2one,many2one,account.account,Credit account,Credit account,True,both
7,journal_id,many2one,many2one,account.journal,Journal,Journal,True,both
8,write_uid,many2one,many2one,res.users,Last Updated by,Last Updated by,False,both
9,company_currency_id,many2one,many2one,res.currency,Company currency id,Company Currency,False,both
10,amount,monetary,monetary,,Amount,Amount,True,both
11,write_date,datetime,datetime,,Last Updated on,Last Updated on,False,both
12,date,date,date,,Date,Date,True,both
13,create_date,datetime,datetime,,Created on,Created on,False,both
14,debit_account_id,many2one,many2one,account.account,Debit account,Debit account,True,both
15,id,integer,integer,,ID,ID,False,both
,,,,
16,tax_id,many2one,,account.tax,Adjustment Tax,,True,version 1
,,,,
17,tax_report_line_id,,many2one,account.tax.report.line,,Report Line,True,version 2
18,report_id,,many2one,account.tax.report,,Report,False,version 2
,,,,
,,,,
