model,utm.campaign,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
2,create_date,datetime,,Created on,datetime,,Created on,False,both
3,name,char,,Campaign Name,char,,Campaign Name,True,both
4,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
5,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
6,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
7,display_name,char,,Display Name,char,,Display Name,False,both
8,id,integer,,ID,integer,,ID,False,both
,,,,
,,,,
9,quotation_count,,,,integer,,Quotation Count,False,version 2
10,color,,,,integer,,Color Index,False,version 2
11,invoiced_amount,,,,integer,,Revenues generated by the campaign,False,version 2
12,currency_id,,,,many2one,res.currency,Currency,False,version 2
13,stage_id,,,,many2one,utm.stage,Stage,True,version 2
14,user_id,,,,many2one,res.users,Responsible,True,version 2
15,tag_ids,,,,many2many,utm.tag,Tags,False,version 2
16,company_id,,,,many2one,res.company,Company,False,version 2
17,is_website,,,,boolean,,Is Website,False,version 2
,,,,
,,,,
